study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Badian1996	all	12	NA	age	12	NA	NA	26.0	NA	NA	NA	22.0	33.0	year	NA
Badian1996	all	12	NA	weight	12	NA	NA	75.0	NA	NA	NA	69.0	85.0	kg	NA
Badian1996	all	12	NA	height	12	NA	NA	180.0	NA	NA	NA	173.0	186.0	cm	NA
Badian1996	all	12	NA	ethnicity	12	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Badian1996	all	12	NA	sex	12	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Badian1996	all	12	NA	healthy	12	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Badian1996	all	12	NA	fasting	12	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Badian1996	all	12	NA	species	12	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
