study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	0.265402943953936	hr	NA	28.7104903890517	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	0.515639896301565	hr	NA	196.593692718634	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	0.765876848649193	hr	NA	348.905112334474	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	1.03127979260312	hr	NA	345.985404467873	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	1.26635075334445	hr	NA	260.340632955696	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	1.51658770569208	hr	NA	200.973254518536	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	2.01706195750669	hr	NA	120.681288186997	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	2.51753586220194	hr	NA	84.6715281314416	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	3.00284342817154	hr	NA	77.8588912931071	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	3.49573485774267	hr	NA	48.1751797989237	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	4.00379123756206	hr	NA	33.0900521889539	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	5.00473904695257	hr	NA	30.656932599315	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride	serum	HPLC	glimepiride_GLI3	6.01327002570592	hr	NA	20.9245878943791	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	0.538388710151349	hr	NA	9.73238925614242	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	0.773459670892671	hr	NA	33.5766404659165	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	1.0236966232403	hr	NA	57.420936226897	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	1.25118476173814	hr	NA	83.6983070263099	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	1.5090048834486	hr	NA	89.5377227595128	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	2.00189561878103	hr	NA	85.6447937877797	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	2.49478704835216	hr	NA	73.965962321374	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	3.02559224202133	hr	NA	76.8856701879754	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	3.5033173328668	hr	NA	45.7421047604913	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	4.01895757628772	hr	NA	40.8759101324201	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	4.99715657182845	hr	NA	34.0632732940855	NA	NA	NA	ng/ml	NA
Lehr1990	NA	all	1.0	GLI3	concentration	glimepiride-M1	serum	HPLC	glimepiride-M1_GLI3	6.00568685634309	hr	NA	19.9513667892474	NA	NA	NA	ng/ml	NA
