run	success	duration	cost	ftissue_gli	Kp_gli	GU__GLIABS_k	GU__MREABS_k	GU__MEXC_k	LI__GLI2M1_Vmax	LI__M1EX_k	LI__M12M2_k	LI__M2EX_k	KI__M1EX_k	KI__M2EX_k	message	x	x0
89	True	31.293330430984497	106.87924237239353	0.00070864179236918	10.020596565282165	0.015900835518327966	0.015920183788739137	0.0001719300784461187	5.3620361192856574e-05	0.07774345977190338	0.014851987496532965	99.99817447866164	0.14800981624897125	0.09849263263810941	`xtol` termination condition is satisfied.	"[7.08641792e-04 1.00205966e+01 1.59008355e-02 1.59201838e-02
 1.71930078e-04 5.36203612e-05 7.77434598e-02 1.48519875e-02
 9.99981745e+01 1.48009816e-01 9.84926326e-02]"	"[1.06435758e-01 1.04710106e+02 3.90674065e-03 5.13853715e-01
 3.17170260e-04 6.96539177e-07 1.89475493e-01 2.52654272e+00
 1.17338363e+00 2.08550667e-04 4.50342144e-02]"
44	True	68.85055303573608	106.88011579996528	0.00071165570309178	10.004263149984446	0.01590076392922569	0.015868953376833087	0.0001737745880226933	5.358395943982042e-05	0.07770140827918633	0.01484438957803093	99.99999999999994	0.14801022081598664	0.098359238799324	`xtol` termination condition is satisfied.	"[7.11655703e-04 1.00042631e+01 1.59007639e-02 1.58689534e-02
 1.73774588e-04 5.35839594e-05 7.77014083e-02 1.48443896e-02
 1.00000000e+02 1.48010221e-01 9.83592388e-02]"	"[6.80453786e-04 3.23810957e+01 1.42398196e-02 7.63798770e-01
 7.14210646e-01 1.03401967e-07 9.74903307e+01 7.15317128e+01
 4.90432925e+00 3.11026095e-04 3.39017083e-02]"
76	True	87.4161696434021	106.88014442548307	0.0007120384320897291	10.000298084644765	0.015899907920450814	0.015862040770742335	0.0001740478638108917	5.3579152652325794e-05	0.07773126584653096	0.014843671859467104	99.99999999999994	0.14799782647469578	0.09834360978635734	`xtol` termination condition is satisfied.	"[7.12038432e-04 1.00002981e+01 1.58999079e-02 1.58620408e-02
 1.74047864e-04 5.35791527e-05 7.77312658e-02 1.48436719e-02
 1.00000000e+02 1.47997826e-01 9.83436098e-02]"	"[9.21579703e-01 2.05632002e+02 1.45450570e-01 1.59880106e-04
 6.01531011e-01 1.00917015e-05 5.47073445e-03 2.60309159e-01
 8.86884486e+00 4.46461871e-02 1.47452626e-02]"
0	True	79.95006585121155	106.88026327427703	0.0007122454289045914	10.000042805794948	0.015900890875857825	0.015856521760354687	0.0001741258334667032	5.3575553022212125e-05	0.0776991197116953	0.014841543622132393	99.99999999999837	0.14798995376777707	0.09833717667818877	`xtol` termination condition is satisfied.	"[7.12245429e-04 1.00000428e+01 1.59008909e-02 1.58565218e-02
 1.74125833e-04 5.35755530e-05 7.76991197e-02 1.48415436e-02
 1.00000000e+02 1.47989954e-01 9.83371767e-02]"	"[5.75472176e-03 3.98319124e+02 2.03754672e-01 1.49148378e-02
 4.72911077e-01 3.43821096e-03 3.21698798e-02 2.64322160e-01
 5.06291704e-02 1.69927483e-02 4.25478825e-04]"
90	True	81.9842882156372	106.88033214516798	0.0007121782399277557	10.000041488300644	0.01590354567164709	0.0158587633791188	0.00017408378721853066	5.357684265021311e-05	0.07774219891576435	0.014844315983511353	99.99999999999994	0.14799635319055	0.09834033214487323	`xtol` termination condition is satisfied.	"[7.12178240e-04 1.00000415e+01 1.59035457e-02 1.58587634e-02
 1.74083787e-04 5.35768427e-05 7.77421989e-02 1.48443160e-02
 1.00000000e+02 1.47996353e-01 9.83403321e-02]"	"[2.01926171e-02 8.55030337e+02 1.26807340e-02 2.58745673e-02
 1.25492526e-04 2.88653416e-03 1.15046512e-02 7.58943703e+00
 3.84156860e-03 9.97435937e-03 2.70229373e-04]"
72	True	76.8805181980133	106.8803569227242	0.000712277279278166	10.000001431788698	0.015903733638448304	0.015855469411689645	0.0001740674889720658	5.3575601124920736e-05	0.0776861231807833	0.014839996069973679	99.99999999999837	0.14798156747405558	0.09833556156714474	`ftol` termination condition is satisfied.	"[7.12277279e-04 1.00000014e+01 1.59037336e-02 1.58554694e-02
 1.74067489e-04 5.35756011e-05 7.76861232e-02 1.48399961e-02
 1.00000000e+02 1.47981567e-01 9.83355616e-02]"	"[1.34493566e-02 6.12723510e+01 1.33000904e-02 2.03979946e-01
 1.85810121e-01 2.82108851e-06 6.93698292e-01 1.68319863e-03
 4.70907027e-01 3.08059598e-03 9.33424748e-02]"
16	True	76.16519594192505	106.88047592354926	0.0007113544770660622	10.008542082536573	0.015903467206178246	0.01586969886460498	0.00017376166307450105	5.35846176161675e-05	0.07772537682203726	0.014847572157637486	99.99999999999994	0.14801008321774553	0.09836492658222176	`xtol` termination condition is satisfied.	"[7.11354477e-04 1.00085421e+01 1.59034672e-02 1.58696989e-02
 1.73761663e-04 5.35846176e-05 7.77253768e-02 1.48475722e-02
 1.00000000e+02 1.48010083e-01 9.83649266e-02]"	"[8.56571239e-01 8.26753837e+01 3.41131801e-02 1.32091942e-02
 1.44728519e-01 8.37100762e-05 3.88505240e-01 2.40890751e-01
 4.25887553e-02 3.06025876e-03 1.24940114e-03]"
69	True	30.55659556388855	106.88048623846232	0.0007125449233265473	10.000220267158952	0.01590404238769895	0.0158484031915641	0.00017432156881205983	5.3572137491859526e-05	0.0776205329726344	0.014838047878960944	99.99995523120445	0.14798644172353698	0.09832810948021203	`xtol` termination condition is satisfied.	"[7.12544923e-04 1.00002203e+01 1.59040424e-02 1.58484032e-02
 1.74321569e-04 5.35721375e-05 7.76205330e-02 1.48380479e-02
 9.99999552e+01 1.47986442e-01 9.83281095e-02]"	"[1.61745788e-01 5.02313497e+01 2.00001734e-03 3.80455097e-02
 2.99870145e-03 1.57181356e-04 4.82578845e-01 2.17730965e-02
 1.68820059e-02 2.10861306e-03 2.18966482e-03]"
1	True	95.83094525337219	106.88050739296935	0.0007121101691268958	10.001529595119143	0.015902802149323714	0.015857237080098688	0.00017413578165699603	5.357562642205321e-05	0.07774078680673692	0.014843729311036558	99.99999993696993	0.14799247225632434	0.09833591073028622	`xtol` termination condition is satisfied.	"[7.12110169e-04 1.00015296e+01 1.59028021e-02 1.58572371e-02
 1.74135782e-04 5.35756264e-05 7.77407868e-02 1.48437293e-02
 9.99999999e+01 1.47992472e-01 9.83359107e-02]"	"[1.17771882e-02 2.34316403e+02 4.43727954e-03 5.12709346e-04
 7.20067962e-03 1.05382730e-06 4.41762895e+01 3.61258928e-03
 9.64975329e+00 1.48773460e-01 3.44502645e-01]"
96	True	44.23149251937866	106.88051212156942	0.0007123848853365905	10.000000001231491	0.015902950656044888	0.01585278543562192	0.00017421583809125988	5.357279406478139e-05	0.07773559535094984	0.014842904255919645	99.99999999996943	0.14799580705352175	0.0983292514530057	`xtol` termination condition is satisfied.	"[7.12384885e-04 1.00000000e+01 1.59029507e-02 1.58527854e-02
 1.74215838e-04 5.35727941e-05 7.77355954e-02 1.48429043e-02
 1.00000000e+02 1.47995807e-01 9.83292515e-02]"	"[1.80120832e-03 1.11906298e+01 3.15143074e-03 1.67756990e-01
 2.78436060e-01 2.05062807e-06 2.59528285e-01 1.15115416e-03
 2.73783512e-03 2.37553358e-02 1.23978923e-02]"
